"Reference","Qty","Value","Footprint","DK_PN","Stocked"
"BT1","1","CR2032","Aloe:BAT_BAT-HLD-003-SMT","1908-CR2032-ND ",""
"BT2","1","CR2032","Aloe:BAT_BAT-HLD-003-SMT","343-BAT-HLD-003-SMT-ND ",""
"C1,C2,C3,C4,C5,C6,C7","7","4u7","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","","y"
"CB1","1","Touch Me","TestPoint:TestPoint_Pad_1.0x1.0mm","","y"
"D25","1","RB521S30T1G","Diode_SMD:D_SOD-523","","y"
"DB1","1","LED","LED_SMD:LED_0805_2012Metric_InnerMarking","B1701NB--20D000114U1930",""
"DB2","1","LED","LED_SMD:LED_0805_2012Metric_InnerMarking","B1701URO-20D000114U1930",""
"DC1,DH2,DH4,DH6,DH8","5","LED_Small","LED_SMD:LED_0805_2012Metric_InnerMarking","B1701URO-20D000114U1930",""
"DH1,DH3,DH5,DH7","4","LED_Small","LED_SMD:LED_0805_2012Metric_InnerMarking","B1701NB--20D000114U1930",""
"DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17,DP18,DP19,DP20,DP21,DP22,DP23,DP24,DP25,DP26,DP27,DP28,DP29,DP30,DP31,DP32,DP33,DP34,DP35,DP36,DP37,DP38,DP39,DP40,DP41,DP42","42","LED_Small","LED_SMD:LED_0805_2012Metric_InnerMarking","B1701UY--20D000214U1930",""
"DS1,DS2,DS3,DS4,DS5,DS6,DS7,DS8,DS9,DS10,DS11,DS12,DS13,DS14","14","LED_Small","LED_SMD:LED_0402_1005Metric_Minimal","EAST10052WA0",""
"J1","1","SWD","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","y"
"L1","1","MAMK2520T4R7M","Inductor_SMD:L_1008_2520Metric_Pad1.43x2.20mm_HandSolder","MAMK2520T4R7M",""
"M1","1","Motor_DC","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1188-VIBRATING-MOTOR-ND ",""
"Q1","1","PJA3401A","Package_TO_SOT_SMD:SOT-23-3","PJA3401A_R1_00001",""
"Q2","1","AO3400A","Package_TO_SOT_SMD:SOT-23-3","AO3400A",""
"R1","1","100","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","","y"
"R2,R3,R10,R11,R12","5","10k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","","y"
"R4","1","0","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","","y"
"R5,R6","2","100k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","","y"
"R7","1","20k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","","y"
"R8,R9","2","1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","","y"
"S1","1","SLW-105558-2A-N-D","Aloe:SW_SLW-105558-2A-N-D","2223-SLW-105558-2A-N-D-ND ",""
"U1","1","STM32F030F4","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","STM32F030F4P6",""
"U2","1","MCP1603","Package_TO_SOT_SMD:TSOT-23-5","MCP1603T-330I/OS",""
"U3","1","IS31FL3731-SA","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","IS31FL3731-SALS2",""
"U4","1","CAP1203-1-SN","Aloe:SOIC127P600X175-8N","CAP1203-1-SN",""
